Abbreviation,TeamName,Position,GridPosition,Points,Race,Year,Rainfall,AirTemp,TrackTemp,StandingPoints,HomeRace,QualiPosition
RAI,Alfa Romeo Racing,14.0,18.0,0.0,Sakhir Grand Prix,2020,0,20.9,23.5,4.0,0,19.0
MAG,Haas F1 Team,15.0,15.0,0.0,Sakhir Grand Prix,2020,0,20.9,23.5,1.0,0,16.0
AIT,Williams,16.0,17.0,0.0,Sakhir Grand Prix,2020,0,20.9,23.5,0.0,0,18.0
FIT,Haas F1 Team,17.0,20.0,0.0,Sakhir Grand Prix,2020,0,20.9,23.5,0.0,0,20.0
LAT,Williams,18.0,16.0,0.0,Sakhir Grand Prix,2020,0,20.9,23.5,0.0,0,17.0
VER,Red Bull Racing,19.0,3.0,0.0,Sakhir Grand Prix,2020,0,20.9,23.5,189.0,0,3.0
LEC,Ferrari,20.0,4.0,0.0,Sakhir Grand Prix,2020,0,20.9,23.5,98.0,0,4.0
VER,Red Bull Racing,1.0,1.0,25.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,189.0,0,1.0
BOT,Mercedes,2.0,2.0,18.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,205.0,0,2.0
HAM,Mercedes,3.0,3.0,15.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,332.0,0,3.0
ALB,Red Bull Racing,4.0,5.0,12.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,93.0,0,5.0
NOR,McLaren,5.0,4.0,10.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,87.0,0,4.0
SAI,McLaren,6.0,6.0,8.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,97.0,0,6.0
RIC,Renault,7.0,11.0,7.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,112.0,0,12.0
GAS,AlphaTauri,8.0,9.0,4.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,71.0,0,10.0
OCO,Renault,9.0,10.0,2.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,60.0,0,11.0
STR,Racing Point,10.0,8.0,1.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,74.0,0,8.0
KVY,AlphaTauri,11.0,7.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,32.0,0,7.0
RAI,Alfa Romeo Racing,12.0,15.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,4.0,0,16.0
LEC,Ferrari,13.0,12.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,98.0,0,9.0
VET,Ferrari,14.0,13.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,33.0,0,13.0
RUS,Williams,15.0,16.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,3.0,0,18.0
GIO,Alfa Romeo Racing,16.0,14.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,4.0,0,14.0
LAT,Williams,17.0,18.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,0.0,0,20.0
MAG,Haas F1 Team,18.0,20.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,1.0,0,17.0
FIT,Haas F1 Team,19.0,17.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,0.0,0,19.0
PER,Racing Point,20.0,19.0,0.0,Abu Dhabi Grand Prix,2020,0,23.1,28.0,125.0,0,15.0
HAM,Mercedes,1.0,2.0,25.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,2.0
VER,Red Bull Racing,2.0,1.0,18.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,1.0
BOT,Mercedes,3.0,3.0,16.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,3.0
NOR,McLaren,4.0,7.0,12.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,7.0
PER,Red Bull Racing,5.0,0.0,10.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,11.0
LEC,Ferrari,6.0,4.0,8.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,4.0
RIC,McLaren,7.0,6.0,6.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,6.0
SAI,Ferrari,8.0,8.0,4.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,8.0
TSU,AlphaTauri,9.0,13.0,2.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,13.0
STR,Aston Martin,10.0,10.0,1.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,10.0
RAI,Alfa Romeo Racing,11.0,14.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,14.0
GIO,Alfa Romeo Racing,12.0,12.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,12.0
OCO,Alpine,13.0,16.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,16.0
RUS,Williams,14.0,15.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,15.0
VET,Aston Martin,15.0,20.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,18.0
MSC,Haas F1 Team,16.0,18.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,19.0
GAS,AlphaTauri,17.0,5.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,5.0
LAT,Williams,18.0,17.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,17.0
ALO,Alpine,19.0,9.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,9.0
MAZ,Haas F1 Team,20.0,19.0,0.0,Bahrain Grand Prix,2021,0,20.5,27.6,0.0,0,20.0
VER,Red Bull Racing,1.0,3.0,25.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,18.0,0,3.0
HAM,Mercedes,2.0,1.0,19.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,25.0,0,1.0
NOR,McLaren,3.0,7.0,15.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,12.0,0,7.0
LEC,Ferrari,4.0,4.0,12.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,8.0,0,4.0
SAI,Ferrari,5.0,11.0,10.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,4.0,0,11.0
RIC,McLaren,6.0,6.0,8.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,6.0,0,6.0
GAS,AlphaTauri,7.0,5.0,6.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,5.0
STR,Aston Martin,8.0,10.0,4.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,1.0,0,10.0
OCO,Alpine,9.0,9.0,2.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,9.0
ALO,Alpine,10.0,15.0,1.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,15.0
PER,Red Bull Racing,11.0,2.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,10.0,0,2.0
TSU,AlphaTauri,12.0,20.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,2.0,0,20.0
RAI,Alfa Romeo Racing,13.0,16.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,16.0
GIO,Alfa Romeo Racing,14.0,17.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,17.0
VET,Aston Martin,15.0,0.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,13.0
MSC,Haas F1 Team,16.0,18.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,18.0
MAZ,Haas F1 Team,17.0,19.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,19.0
BOT,Mercedes,18.0,8.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,16.0,0,8.0
RUS,Williams,19.0,12.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,12.0
LAT,Williams,20.0,14.0,0.0,Emilia Romagna Grand Prix,2021,1,10.6,16.8,0.0,0,14.0
HAM,Mercedes,1.0,2.0,25.0,Portuguese Grand Prix,2021,0,19.4,39.0,44.0,0,2.0
VER,Red Bull Racing,2.0,3.0,18.0,Portuguese Grand Prix,2021,0,19.4,39.0,43.0,0,3.0
BOT,Mercedes,3.0,1.0,16.0,Portuguese Grand Prix,2021,0,19.4,39.0,16.0,0,1.0
PER,Red Bull Racing,4.0,4.0,12.0,Portuguese Grand Prix,2021,0,19.4,39.0,10.0,0,4.0
NOR,McLaren,5.0,7.0,10.0,Portuguese Grand Prix,2021,0,19.4,39.0,27.0,0,7.0
LEC,Ferrari,6.0,8.0,8.0,Portuguese Grand Prix,2021,0,19.4,39.0,20.0,0,8.0
OCO,Alpine,7.0,6.0,6.0,Portuguese Grand Prix,2021,0,19.4,39.0,2.0,0,6.0
ALO,Alpine,8.0,13.0,4.0,Portuguese Grand Prix,2021,0,19.4,39.0,1.0,0,13.0
RIC,McLaren,9.0,16.0,2.0,Portuguese Grand Prix,2021,0,19.4,39.0,14.0,0,16.0
GAS,AlphaTauri,10.0,9.0,1.0,Portuguese Grand Prix,2021,0,19.4,39.0,6.0,0,9.0
SAI,Ferrari,11.0,5.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,14.0,0,5.0
GIO,Alfa Romeo Racing,12.0,12.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,0.0,0,12.0
VET,Aston Martin,13.0,10.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,0.0,0,10.0
STR,Aston Martin,14.0,17.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,5.0,0,17.0
TSU,AlphaTauri,15.0,14.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,2.0,0,14.0
RUS,Williams,16.0,11.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,0.0,0,11.0
MSC,Haas F1 Team,17.0,19.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,0.0,0,19.0
LAT,Williams,18.0,18.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,0.0,0,18.0
MAZ,Haas F1 Team,19.0,20.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,0.0,0,20.0
RAI,Alfa Romeo Racing,20.0,15.0,0.0,Portuguese Grand Prix,2021,0,19.4,39.0,0.0,0,15.0
HAM,Mercedes,1.0,1.0,25.0,Spanish Grand Prix,2021,0,22.2,32.9,69.0,0,1.0
VER,Red Bull Racing,2.0,2.0,19.0,Spanish Grand Prix,2021,0,22.2,32.9,61.0,0,2.0
BOT,Mercedes,3.0,3.0,15.0,Spanish Grand Prix,2021,0,22.2,32.9,32.0,0,3.0
LEC,Ferrari,4.0,4.0,12.0,Spanish Grand Prix,2021,0,22.2,32.9,28.0,0,4.0
PER,Red Bull Racing,5.0,8.0,10.0,Spanish Grand Prix,2021,0,22.2,32.9,22.0,0,8.0
RIC,McLaren,6.0,7.0,8.0,Spanish Grand Prix,2021,0,22.2,32.9,16.0,0,7.0
SAI,Ferrari,7.0,6.0,6.0,Spanish Grand Prix,2021,0,22.2,32.9,14.0,1,6.0
NOR,McLaren,8.0,9.0,4.0,Spanish Grand Prix,2021,0,22.2,32.9,37.0,0,9.0
OCO,Alpine,9.0,5.0,2.0,Spanish Grand Prix,2021,0,22.2,32.9,8.0,0,5.0
GAS,AlphaTauri,10.0,12.0,1.0,Spanish Grand Prix,2021,0,22.2,32.9,7.0,0,12.0
STR,Aston Martin,11.0,11.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,5.0,0,11.0
RAI,Alfa Romeo Racing,12.0,17.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,0.0,0,17.0
VET,Aston Martin,13.0,13.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,0.0,0,13.0
RUS,Williams,14.0,15.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,0.0,0,15.0
GIO,Alfa Romeo Racing,15.0,14.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,0.0,0,14.0
LAT,Williams,16.0,19.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,0.0,0,19.0
ALO,Alpine,17.0,10.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,5.0,1,10.0
MSC,Haas F1 Team,18.0,18.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,0.0,0,18.0
MAZ,Haas F1 Team,19.0,20.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,0.0,0,20.0
TSU,AlphaTauri,20.0,16.0,0.0,Spanish Grand Prix,2021,0,22.2,32.9,2.0,0,16.0
VER,Red Bull Racing,1.0,2.0,25.0,Monaco Grand Prix,2021,0,20.8,37.6,80.0,0,2.0
SAI,Ferrari,2.0,4.0,18.0,Monaco Grand Prix,2021,0,20.8,37.6,20.0,0,4.0
NOR,McLaren,3.0,5.0,15.0,Monaco Grand Prix,2021,0,20.8,37.6,41.0,0,5.0
PER,Red Bull Racing,4.0,9.0,12.0,Monaco Grand Prix,2021,0,20.8,37.6,32.0,0,9.0
VET,Aston Martin,5.0,8.0,10.0,Monaco Grand Prix,2021,0,20.8,37.6,0.0,0,8.0
GAS,AlphaTauri,6.0,6.0,8.0,Monaco Grand Prix,2021,0,20.8,37.6,8.0,0,6.0
HAM,Mercedes,7.0,7.0,7.0,Monaco Grand Prix,2021,0,20.8,37.6,94.0,0,7.0
STR,Aston Martin,8.0,13.0,4.0,Monaco Grand Prix,2021,0,20.8,37.6,5.0,0,13.0
OCO,Alpine,9.0,11.0,2.0,Monaco Grand Prix,2021,0,20.8,37.6,10.0,0,11.0
GIO,Alfa Romeo Racing,10.0,10.0,1.0,Monaco Grand Prix,2021,0,20.8,37.6,0.0,0,10.0
RAI,Alfa Romeo Racing,11.0,14.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,0.0,0,14.0
RIC,McLaren,12.0,12.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,24.0,0,12.0
ALO,Alpine,13.0,17.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,5.0,0,17.0
RUS,Williams,14.0,15.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,0.0,0,15.0
LAT,Williams,15.0,18.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,0.0,0,18.0
TSU,AlphaTauri,16.0,16.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,2.0,0,16.0
MAZ,Haas F1 Team,17.0,19.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,0.0,0,19.0
MSC,Haas F1 Team,18.0,20.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,0.0,0,
BOT,Mercedes,19.0,3.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,47.0,0,3.0
LEC,Ferrari,20.0,1.0,0.0,Monaco Grand Prix,2021,0,20.8,37.6,40.0,1,1.0
PER,Red Bull Racing,1.0,6.0,25.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,44.0,0,7.0
VET,Aston Martin,2.0,11.0,18.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,10.0,0,11.0
GAS,AlphaTauri,3.0,4.0,15.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,16.0,0,4.0
LEC,Ferrari,4.0,1.0,12.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,40.0,0,1.0
NOR,McLaren,5.0,9.0,10.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,56.0,0,6.0
ALO,Alpine,6.0,8.0,8.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,5.0,0,9.0
TSU,AlphaTauri,7.0,7.0,6.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,2.0,0,8.0
SAI,Ferrari,8.0,5.0,4.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,38.0,0,5.0
RIC,McLaren,9.0,13.0,2.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,24.0,0,13.0
RAI,Alfa Romeo Racing,10.0,14.0,1.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,0.0,0,14.0
GIO,Alfa Romeo Racing,11.0,20.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,1.0,0,20.0
BOT,Mercedes,12.0,10.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,47.0,0,10.0
MSC,Haas F1 Team,13.0,17.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,0.0,0,17.0
MAZ,Haas F1 Team,14.0,18.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,0.0,0,18.0
HAM,Mercedes,15.0,2.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,101.0,0,2.0
LAT,Williams,16.0,16.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,0.0,0,16.0
RUS,Williams,17.0,15.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,0.0,0,15.0
VER,Red Bull Racing,18.0,3.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,105.0,0,3.0
STR,Aston Martin,19.0,19.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,9.0,0,19.0
OCO,Alpine,20.0,12.0,0.0,Azerbaijan Grand Prix,2021,0,24.2,38.3,12.0,0,12.0
VER,Red Bull Racing,1.0,1.0,26.0,French Grand Prix,2021,0,25.3,35.2,105.0,0,1.0
HAM,Mercedes,2.0,2.0,18.0,French Grand Prix,2021,0,25.3,35.2,101.0,0,2.0
PER,Red Bull Racing,3.0,4.0,15.0,French Grand Prix,2021,0,25.3,35.2,69.0,0,4.0
BOT,Mercedes,4.0,3.0,12.0,French Grand Prix,2021,0,25.3,35.2,47.0,0,3.0
NOR,McLaren,5.0,8.0,10.0,French Grand Prix,2021,0,25.3,35.2,66.0,0,8.0
RIC,McLaren,6.0,10.0,8.0,French Grand Prix,2021,0,25.3,35.2,26.0,0,10.0
GAS,AlphaTauri,7.0,6.0,6.0,French Grand Prix,2021,0,25.3,35.2,31.0,1,6.0
ALO,Alpine,8.0,9.0,4.0,French Grand Prix,2021,0,25.3,35.2,13.0,0,9.0
VET,Aston Martin,9.0,12.0,2.0,French Grand Prix,2021,0,25.3,35.2,28.0,0,12.0
STR,Aston Martin,10.0,19.0,1.0,French Grand Prix,2021,0,25.3,35.2,9.0,0,19.0
SAI,Ferrari,11.0,5.0,0.0,French Grand Prix,2021,0,25.3,35.2,42.0,0,5.0
RUS,Williams,12.0,14.0,0.0,French Grand Prix,2021,0,25.3,35.2,0.0,0,14.0
TSU,AlphaTauri,13.0,0.0,0.0,French Grand Prix,2021,0,25.3,35.2,8.0,0,20.0
OCO,Alpine,14.0,11.0,0.0,French Grand Prix,2021,0,25.3,35.2,12.0,1,11.0
GIO,Alfa Romeo Racing,15.0,13.0,0.0,French Grand Prix,2021,0,25.3,35.2,1.0,0,13.0
LEC,Ferrari,16.0,7.0,0.0,French Grand Prix,2021,0,25.3,35.2,52.0,0,7.0
RAI,Alfa Romeo Racing,17.0,17.0,0.0,French Grand Prix,2021,0,25.3,35.2,1.0,0,17.0
LAT,Williams,18.0,16.0,0.0,French Grand Prix,2021,0,25.3,35.2,0.0,0,16.0
MSC,Haas F1 Team,19.0,15.0,0.0,French Grand Prix,2021,0,25.3,35.2,0.0,0,15.0
MAZ,Haas F1 Team,20.0,18.0,0.0,French Grand Prix,2021,0,25.3,35.2,0.0,0,18.0
VER,Red Bull Racing,1.0,1.0,25.0,Styrian Grand Prix,2021,0,26.7,52.4,131.0,0,1.0
HAM,Mercedes,2.0,2.0,19.0,Styrian Grand Prix,2021,0,26.7,52.4,119.0,0,3.0
BOT,Mercedes,3.0,5.0,15.0,Styrian Grand Prix,2021,0,26.7,52.4,59.0,0,2.0
PER,Red Bull Racing,4.0,4.0,12.0,Styrian Grand Prix,2021,0,26.7,52.4,84.0,0,5.0
NOR,McLaren,5.0,3.0,10.0,Styrian Grand Prix,2021,0,26.7,52.4,76.0,0,4.0
SAI,Ferrari,6.0,12.0,8.0,Styrian Grand Prix,2021,0,26.7,52.4,42.0,0,12.0
LEC,Ferrari,7.0,7.0,6.0,Styrian Grand Prix,2021,0,26.7,52.4,52.0,0,7.0
STR,Aston Martin,8.0,9.0,4.0,Styrian Grand Prix,2021,0,26.7,52.4,10.0,0,10.0
ALO,Alpine,9.0,8.0,2.0,Styrian Grand Prix,2021,0,26.7,52.4,17.0,0,9.0
TSU,AlphaTauri,10.0,11.0,1.0,Styrian Grand Prix,2021,0,26.7,52.4,8.0,0,8.0
RAI,Alfa Romeo Racing,11.0,18.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,1.0,0,18.0
VET,Aston Martin,12.0,14.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,30.0,0,14.0
RIC,McLaren,13.0,13.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,34.0,0,13.0
OCO,Alpine,14.0,17.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,12.0,0,17.0
GIO,Alfa Romeo Racing,15.0,15.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,1.0,0,15.0
MSC,Haas F1 Team,16.0,19.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,0.0,0,19.0
LAT,Williams,17.0,16.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,0.0,0,16.0
MAZ,Haas F1 Team,18.0,20.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,0.0,0,20.0
RUS,Williams,19.0,10.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,0.0,0,11.0
GAS,AlphaTauri,20.0,6.0,0.0,Styrian Grand Prix,2021,0,26.7,52.4,37.0,0,6.0
VER,Red Bull Racing,1.0,1.0,26.0,Austrian Grand Prix,2021,1,21.0,33.2,156.0,0,1.0
BOT,Mercedes,2.0,5.0,18.0,Austrian Grand Prix,2021,1,21.0,33.2,74.0,0,5.0
NOR,McLaren,3.0,2.0,15.0,Austrian Grand Prix,2021,1,21.0,33.2,86.0,0,2.0
HAM,Mercedes,4.0,4.0,12.0,Austrian Grand Prix,2021,1,21.0,33.2,138.0,0,4.0
SAI,Ferrari,5.0,10.0,10.0,Austrian Grand Prix,2021,1,21.0,33.2,50.0,0,11.0
PER,Red Bull Racing,6.0,3.0,8.0,Austrian Grand Prix,2021,1,21.0,33.2,96.0,0,3.0
RIC,McLaren,7.0,13.0,6.0,Austrian Grand Prix,2021,1,21.0,33.2,34.0,0,13.0
LEC,Ferrari,8.0,12.0,4.0,Austrian Grand Prix,2021,1,21.0,33.2,58.0,0,12.0
GAS,AlphaTauri,9.0,6.0,2.0,Austrian Grand Prix,2021,1,21.0,33.2,37.0,0,6.0
ALO,Alpine,10.0,14.0,1.0,Austrian Grand Prix,2021,1,21.0,33.2,19.0,0,14.0
RUS,Williams,11.0,8.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,0.0,0,9.0
TSU,AlphaTauri,12.0,7.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,9.0,0,7.0
STR,Aston Martin,13.0,9.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,14.0,0,10.0
GIO,Alfa Romeo Racing,14.0,15.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,1.0,0,15.0
RAI,Alfa Romeo Racing,15.0,16.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,1.0,0,16.0
LAT,Williams,16.0,18.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,0.0,0,18.0
VET,Aston Martin,17.0,11.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,30.0,0,8.0
MSC,Haas F1 Team,18.0,19.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,0.0,0,19.0
MAZ,Haas F1 Team,19.0,20.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,0.0,0,20.0
OCO,Alpine,20.0,17.0,0.0,Austrian Grand Prix,2021,1,21.0,33.2,12.0,0,17.0
HAM,Mercedes,1.0,2.0,25.0,British Grand Prix,2021,0,29.4,50.9,150.0,1,1.0
LEC,Ferrari,2.0,4.0,18.0,British Grand Prix,2021,0,29.4,50.9,62.0,0,4.0
BOT,Mercedes,3.0,3.0,15.0,British Grand Prix,2021,0,29.4,50.9,92.0,0,3.0
NOR,McLaren,4.0,5.0,12.0,British Grand Prix,2021,0,29.4,50.9,101.0,1,6.0
RIC,McLaren,5.0,6.0,10.0,British Grand Prix,2021,0,29.4,50.9,40.0,0,7.0
SAI,Ferrari,6.0,10.0,8.0,British Grand Prix,2021,0,29.4,50.9,60.0,0,9.0
ALO,Alpine,7.0,7.0,6.0,British Grand Prix,2021,0,29.4,50.9,20.0,0,11.0
STR,Aston Martin,8.0,14.0,4.0,British Grand Prix,2021,0,29.4,50.9,14.0,0,15.0
OCO,Alpine,9.0,9.0,2.0,British Grand Prix,2021,0,29.4,50.9,12.0,0,13.0
TSU,AlphaTauri,10.0,16.0,1.0,British Grand Prix,2021,0,29.4,50.9,9.0,0,16.0
GAS,AlphaTauri,11.0,11.0,0.0,British Grand Prix,2021,0,29.4,50.9,39.0,0,12.0
RUS,Williams,12.0,12.0,0.0,British Grand Prix,2021,0,29.4,50.9,0.0,1,8.0
GIO,Alfa Romeo Racing,13.0,15.0,0.0,British Grand Prix,2021,0,29.4,50.9,1.0,0,14.0
LAT,Williams,14.0,17.0,0.0,British Grand Prix,2021,0,29.4,50.9,0.0,0,18.0
RAI,Alfa Romeo Racing,15.0,13.0,0.0,British Grand Prix,2021,0,29.4,50.9,1.0,0,17.0
PER,Red Bull Racing,16.0,0.0,0.0,British Grand Prix,2021,0,29.4,50.9,104.0,0,5.0
MAZ,Haas F1 Team,17.0,19.0,0.0,British Grand Prix,2021,0,29.4,50.9,0.0,0,20.0
MSC,Haas F1 Team,18.0,18.0,0.0,British Grand Prix,2021,0,29.4,50.9,0.0,0,19.0
VET,Aston Martin,19.0,8.0,0.0,British Grand Prix,2021,0,29.4,50.9,30.0,0,10.0
VER,Red Bull Racing,20.0,1.0,0.0,British Grand Prix,2021,0,29.4,50.9,182.0,0,2.0
OCO,Alpine,1.0,8.0,25.0,Hungarian Grand Prix,2021,1,27.2,37.8,14.0,0,8.0
HAM,Mercedes,2.0,1.0,18.0,Hungarian Grand Prix,2021,1,27.2,37.8,175.0,0,1.0
SAI,Ferrari,3.0,15.0,15.0,Hungarian Grand Prix,2021,1,27.2,37.8,68.0,0,15.0
ALO,Alpine,4.0,9.0,12.0,Hungarian Grand Prix,2021,1,27.2,37.8,26.0,0,9.0
GAS,AlphaTauri,5.0,5.0,11.0,Hungarian Grand Prix,2021,1,27.2,37.8,39.0,0,5.0
TSU,AlphaTauri,6.0,16.0,8.0,Hungarian Grand Prix,2021,1,27.2,37.8,10.0,0,16.0
LAT,Williams,7.0,18.0,6.0,Hungarian Grand Prix,2021,1,27.2,37.8,0.0,0,18.0
RUS,Williams,8.0,17.0,4.0,Hungarian Grand Prix,2021,1,27.2,37.8,0.0,0,17.0
VER,Red Bull Racing,9.0,3.0,2.0,Hungarian Grand Prix,2021,1,27.2,37.8,182.0,0,3.0
RAI,Alfa Romeo Racing,10.0,13.0,1.0,Hungarian Grand Prix,2021,1,27.2,37.8,1.0,0,13.0
RIC,McLaren,11.0,11.0,0.0,Hungarian Grand Prix,2021,1,27.2,37.8,50.0,0,11.0
MSC,Haas F1 Team,12.0,20.0,0.0,Hungarian Grand Prix,2021,1,27.2,37.8,0.0,0,20.0
GIO,Alfa Romeo Racing,13.0,0.0,0.0,Hungarian Grand Prix,2021,1,27.2,37.8,1.0,0,14.0
MAZ,Haas F1 Team,14.0,19.0,0.0,Hungarian Grand Prix,2021,1,27.2,37.8,0.0,0,19.0
